Gene,In_ElasticNet,In_XGBoost
AATF,False,True
IFT172,False,True
SCD,True,False
GPM6B,True,False
LINC02287,False,True
SORT1,True,False
IDS,True,False
RMRP,True,False
NORAD,True,False
A1BG,False,True
LRRC37A2,False,True
ARSF,False,True
VWA3A,False,True
SPARCL1,True,False
FAM153A,False,True
SLC12A1,False,True
GCM1,False,True
LOC100133091,False,True
AP1G2,False,True
BDKRB2,False,True
ID2-AS1,False,True
AHNAK,True,True
NEFH,True,False
CADM2,True,False
CD300E,False,True
TF,True,False
SLC1A3,True,False
ATP8A1,True,False
KCNJ2-AS1,False,True
ANKRD2,False,True
AluJo:Alu:SINE,True,False
GIMAP7,False,True
LSAU:Satellite:Satellite,False,True
C4orf48,False,True
XIST,True,False
AQP7P1,False,True
RPPH1,True,False
BIRC5,False,True
CSF3,False,True
SCN2A,True,False
SYT1,True,False
PSD3,True,False
SYT11,True,False
SPP1,True,False
CAMK2A,True,False
SRRM2,True,False
RTN3,True,False
CYP1A1,False,True
L1PA2:L1:LINE,True,False
KATNAL2,False,True
PWAR5,True,False
SFRP1,False,True
TUBA1B,True,False
MER4B-int:ERV1:LTR,False,True
LOC100506551,False,True
C1QTNF9B,False,True
ATP6V1C2,False,True
PRKACB,True,False
L1PA3:L1:LINE,True,False
ABI3BP,False,True
CRYAB,True,False
SLC5A4,False,True
SEC31B,False,True
MTURN,True,False
PGM2L1,True,False
SPARC,True,False
L1MC4:L1:LINE,True,False
L1PA6:L1:LINE,True,False
FMNL2,True,False
NOS3,False,True
MIR3648-1,True,False
APOLD1,False,True
MAP2,True,False
FAM107A,True,False
ACVRL1,False,True
PTPRZ1,True,False
HERVK14-int:ERVK:LTR,False,True
DAP,False,True
SPOCK1,True,False
HSPA1A,True,False
NECAB1,True,False
MIR1185-1,False,True
DNAJB8-AS1,False,True
CPE,True,False
AQP4,True,False
A2ML1,False,True
VCAN,True,False
ZNF483,True,False
RERGL,False,True
DAND5,False,True
CNTN2,True,False
KPNA7,False,True
EPHA5,False,True
ATRNL1,True,False
MBP,True,False
HSP90AB1,True,False
MOBP,True,False
DSP,False,True
STARD7-AS1,False,True
ATP2A1,False,True
ABCA2,True,False
DCDC2C,False,True
HLA-DPB2,False,True
TMEM154,False,True
CNP,True,False
C7orf13,False,True
LOC101928932,False,True
LILRB2,False,True
MIR663AHG,True,False
ANGPT1,False,True
ENC1,True,False
L1ME1:L1:LINE,True,False
AluJr:Alu:SINE,True,False
TPPP,True,False
GFAP,True,False
L2b:L2:LINE,True,False
ECT2L,False,True
LINC01719,False,True
APC,True,False
YWHAH,True,False
LOC101928323,False,True
FTL,True,False
L1MC3:L1:LINE,True,False
HBD,False,True
ADGRV1,True,False
CYP2C19,False,True
LOC91450,False,True
ATP1A2,True,False
PWAR6,True,False
OIP5-AS1,True,False
ABCA1,False,True
MIR3648-2,True,False
L3:CR1:LINE,True,False
A2M-AS1,False,True
NEXN,False,True
PAX6,False,True
PKD1,True,False
L1ME4a:L1:LINE,True,False
SERPINA3,True,False
ADCYAP1R1,True,True
NTRK2,True,False
CXCL11,False,True
IFIT3,False,True
ASAH2,False,True
TGFB2,False,True
RLBP1,False,True
PREPL,True,False
KCNJ16,False,True
L1MC4a:L1:LINE,True,False
LAMP2,True,False
LINC00836,False,True
SLC1A2,True,False
L1PA7:L1:LINE,True,False
MEF2C,True,False
DPH6-AS1,False,True
ACTB,True,False
PLP1,True,False
FZD2,False,True
L1PB1:L1:LINE,True,False
EFHC2,False,True
7SK:RNA:RNA,True,False
LOC100132111,False,True
GLUD1,True,False
CD69,False,True
L1PA4:L1:LINE,True,False
SVA_E:SVA_E:Other,False,True
KHDC3L,False,True
KIF5A,True,False
SLC46A2,False,True
L1M5:L1:LINE,True,False
TMEM220-AS1,False,True
A2M,False,True
HERV-Fc1_LTR3:ERV1:LTR,False,True
BEAN1-AS1,False,True
BMP1,False,True
CLYBL,False,True
ENO1,True,False
EXOSC10,False,True
KCTD12,False,True
VCAM1,False,True
TMOD2,True,False
CDH5,False,True
HSD11B1,False,True
LILRA3,False,True
ACOX2,False,True
CALM1,True,False
AluJb:Alu:SINE,True,False
POTEM,False,True
STON2,True,False
DST,True,False
ABO,False,True
ETV4,False,True
MAP4K4,True,False
CDH3,False,True
L1PA5:L1:LINE,True,False
ANKRD20A9P,False,True
MAPK10,True,False
PIK3R1,True,False
